Samples,48-53,35,92,93,94,95,96,97,101,102,103,104.2,105,107,142,162,169,170,171,172,173,174
weight of samples,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Group,Control,ADFULL,Control,Treatment,Control,Control,Treatment,Treatment,Control,Treatment,Control,Control,Treatment,ADFULL,ADFULL,ADFULL,Control,Treatment,Control,Control,Treatment,Treatment
Sorbitol-ISTD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1-1095.5_Alanine,0.045,0.128,0.084,0.024,0.073,0.02,0.021,0.04,0.044,0.071,0.055,0.09,0.095,0.149,0.15,0.257,0.032,0.053,0.022,0.013,0.057,1.419
2-1134.9_Oxalic acid,0.012,0.019,0.017,0.019,0.014,0.017,0.015,0.015,0.015,0.014,0.017,0.015,0.033,0.016,0.016,0.02,0.015,0.019,0.017,0.018,0.061,0.062
"3-1242.6_Butyric acid, 4-hydroxy-[2TMS]",0.199,0.223,0.198,0.022,0.206,0.2,0.023,0.036,0.207,0.215,0.207,0.207,0.022,0.212,0.196,0.205,0.207,0.031,0.195,0.201,0.047,0.037
4-1162.4_Sulfuric acid [2TMS],0.049,0.054,0.004,0.002,0.005,0.004,0.048,0.003,0.004,0.008,0.004,0.005,0.032,0.004,0.006,0.012,0.003,0.008,0.004,0.005,0.051,0.043
"5-1382.4_Threonic acid-1,4-lactone [2TMS]",0.005,0.007,0.006,0.006,0.001,0.006,0.006,0.01,0.006,0.006,0.004,0.002,0.018,0.006,0.007,0.008,0.005,0.007,0.006,0.001,0.036,0.027
6-1326_Succinic acid [2TMS],0.2,0.337,0.302,0.682,0.324,0.908,0.738,0.674,0.024,1.925,0.118,0.147,3.568,0.341,0.291,0.011,0.326,2.025,0.026,0.043,4.874,3.178
"7-1419.6_Butanoic acid,2,4-dihydroxy- [3TMS]",0.001,0,0.002,0.003,0.001,0.001,0.007,0.002,0,0.001,0,0,0.006,0.001,0,0.011,0,0.002,0,0,0.014,0.005
8-1414.6_Glutaric acid [2TMS],0.001,0.001,0,0.026,0.001,0.002,0.043,0.073,0.001,0.007,0.002,0.022,0.348,0.001,0,0.002,0.001,0.15,0,0.001,0.315,0.022
"9-1465.9_Decanoic acid,n- [1TMS]",0.002,0.003,0.003,0.01,0.005,0.004,0.009,0.008,0.002,0.004,0.002,0.004,0.022,0.002,0.002,0.004,0.002,0.006,0.002,0.003,0.082,0.311
"10-1492.3_Malic acid, DL- [3TMS]",0.001,0.001,0.009,0.001,0,0,0.001,0,0,0.001,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.002,0.001
"11-2206.3_Tryptophan,L- [2TMS]",0.014,0,0,0.032,0.001,0.044,0.042,0.03,0,0.047,0.001,0.047,0.089,0,0,0.001,0,0.049,0,0.044,0.135,0.071
"12-1525_Aspartic acid, DL- [3TMS]",0.002,0.04,0.044,0.005,0.005,0.014,0.005,0.011,0.001,0.001,0,0.037,0.016,0.018,0.063,0.104,0.001,0.006,0.004,0.005,0.01,0.006
"13-1577.5_Benzoic acid,3-hydroxy- [2TMS]",0.003,0,0.001,0.003,0.001,0.009,0.004,0.002,0.001,0.008,0.001,0.004,0.009,0,0,0,0.001,0.009,0.001,0.003,0.01,0.007
14-1630.9_Anthranilic acid [2TMS],0.001,0,0.001,0.004,0.001,0.001,0.049,0.044,0.001,0.001,0.001,0.001,0.017,0.001,0,0,0.001,0.001,0,0.001,0.041,0.003
"15-1631.4_Glutamic acid,DL- [3TMS]",0.068,0.147,0.142,0.003,0.031,0.146,0.002,0.008,0.026,0.026,0.005,0.126,0.042,0.081,0.167,0.225,0.027,0.096,0.02,0.047,0.017,0.008
"16-1635_Valeric acid,5-amino- [3TMS]",0.006,0.006,0.007,0.653,0.008,0.006,0.81,1.966,0.006,0.006,0.006,0.008,0.024,0.011,0.006,0.007,0.007,0.012,0.022,0.007,0.032,0.035
