Sample.ID,CompoundName
1-1095.5_Alanine,1-1095.5_Alanine
2-1134.9_Oxalic acid,2-1134.9_Oxalic acid
"3-1242.6_Butyric acid, 4-hydroxy-[2TMS]","3-1242.6_Butyric acid, 4-hydroxy-[2TMS]"
4-1162.4_Sulfuric acid [2TMS],4-1162.4_Sulfuric acid [2TMS]
"5-1382.4_Threonic acid-1,4-lactone [2TMS]","5-1382.4_Threonic acid-1,4-lactone [2TMS]"
6-1326_Succinic acid [2TMS],6-1326_Succinic acid [2TMS]
"7-1419.6_Butanoic acid,2,4-dihydroxy- [3TMS]","7-1419.6_Butanoic acid,2,4-dihydroxy- [3TMS]"
8-1414.6_Glutaric acid [2TMS],8-1414.6_Glutaric acid [2TMS]
"9-1465.9_Decanoic acid,n- [1TMS]","9-1465.9_Decanoic acid,n- [1TMS]"
"10-1492.3_Malic acid, DL- [3TMS]","10-1492.3_Malic acid, DL- [3TMS]"
"11-2206.3_Tryptophan,L- [2TMS]","11-2206.3_Tryptophan,L- [2TMS]"
"12-1525_Aspartic acid, DL- [3TMS]","12-1525_Aspartic acid, DL- [3TMS]"
"13-1577.5_Benzoic acid,3-hydroxy- [2TMS]","13-1577.5_Benzoic acid,3-hydroxy- [2TMS]"
14-1630.9_Anthranilic acid [2TMS],14-1630.9_Anthranilic acid [2TMS]
"15-1631.4_Glutamic acid,DL- [3TMS]","15-1631.4_Glutamic acid,DL- [3TMS]"
"16-1635_Valeric acid,5-amino- [3TMS]","16-1635_Valeric acid,5-amino- [3TMS]"
"17-1639.5_Benzoic acid, 4-hydroxy- [2TMS]","17-1639.5_Benzoic acid, 4-hydroxy- [2TMS]"
18-1710.8_Suberic acid [2TMS],18-1710.8_Suberic acid [2TMS]
19-1774.2_Ribonic acid [5TMS],19-1774.2_Ribonic acid [5TMS]
20-1806.4_Azelaic acid [2TMS],20-1806.4_Azelaic acid [2TMS]
"21-1862.7_Quinic acid, D(-)- [5TMS]","21-1862.7_Quinic acid, D(-)- [5TMS]"
"22-1949_Pentadecanoic acid, n- [1TMS]","22-1949_Pentadecanoic acid, n- [1TMS]"
"23-1949_Pentadecanoic acid, n- [1TMS] COPY","23-1949_Pentadecanoic acid, n- [1TMS] COPY"
"24-1968.8_Indole-3-acetic acid, 1H- [2TMS]","24-1968.8_Indole-3-acetic acid, 1H- [2TMS]"
"25-1985_Glucopyranose, D- [5TMS]","25-1985_Glucopyranose, D- [5TMS]"
26-2267_Permethyl-oligosiloxane,26-2267_Permethyl-oligosiloxane
"27-2050.2_Hexadecanoic acid, n- [1TMS]","27-2050.2_Hexadecanoic acid, n- [1TMS]"
28-2035.9_(9-(Z)-Hexadecanoic acid [1TMS],28-2035.9_(9-(Z)-Hexadecanoic acid [1TMS]
29-2038.3_(910; 9-(Z)-Hexadecanoic acid [1TMS],29-2038.3_(910; 9-(Z)-Hexadecanoic acid [1TMS]
30-2091.9_Myo-inositol- [6TMS],30-2091.9_Myo-inositol- [6TMS]
"31-2146.7_Heptadecanoic acid, n- [1TMS]","31-2146.7_Heptadecanoic acid, n- [1TMS]"
"32-2211.1_Octadeadienoic acid,9,12-(Z,Z)-, n- [1TMS]","32-2211.1_Octadeadienoic acid,9,12-(Z,Z)-, n- [1TMS]"
"33-2217.4_Octadecanoic acid, 9-(Z)-, n- [1TMS]","33-2217.4_Octadecanoic acid, 9-(Z)-, n- [1TMS]"
"34-2247_Octadecanoic acid, n- [1TMS]","34-2247_Octadecanoic acid, n- [1TMS]"
35-2430.3_Myo-inositol-1-phosphate [7TMS],35-2430.3_Myo-inositol-1-phosphate [7TMS]
36-Unknown 222_27.4722_331,36-Unknown 222_27.4722_331
"37-2456.3_Eicosanoic acid, n- [1TMS]","37-2456.3_Eicosanoic acid, n- [1TMS]"
38-2468_Uridine [3TMS],38-2468_Uridine [3TMS]
39-2592_Inosine [4TMS],39-2592_Inosine [4TMS]
40-2612.4_Adenosine [3TMS],40-2612.4_Adenosine [3TMS]
"41-2652.4_Docosanoic acid, n- [1TMS]","41-2652.4_Docosanoic acid, n- [1TMS]"
"42-2820.8_Squalene, all-trans-","42-2820.8_Squalene, all-trans-"
"43-2838.7_Tetracosanoic acid, n- [1TMS]","43-2838.7_Tetracosanoic acid, n- [1TMS]"
44-2744.9_Tetracosanol [1TMS],44-2744.9_Tetracosanol [1TMS]
45-3156.9_Cholesterol [1TMS],45-3156.9_Cholesterol [1TMS]
46-3171.3_{861; 5-alpha-Cholestan-3-ol [1TMS]},46-3171.3_{861; 5-alpha-Cholestan-3-ol [1TMS]}
47-2866_Daidzein [2TMS],47-2866_Daidzein [2TMS]
48-3355.5_beta-Sitosterol [1TMS],48-3355.5_beta-Sitosterol [1TMS]
49-3577.6_Oleanolic acid [2TMS],49-3577.6_Oleanolic acid [2TMS]
50-3626.6_Ursolic acid [2TMS],50-3626.6_Ursolic acid [2TMS]
"51-2768.4_Maltose, D- [1MEOX] [8TMS]","51-2768.4_Maltose, D- [1MEOX] [8TMS]"
"52-2749.1_Trehalose, alpha, alpha'-, D- [8TMS]","52-2749.1_Trehalose, alpha, alpha'-, D- [8TMS]"
53-2407.5_Glucose-6-phosphate [6TMS],53-2407.5_Glucose-6-phosphate [6TMS]
"54-1775.1_Glycerol-3-phosphate, DL- [4TMS]","54-1775.1_Glycerol-3-phosphate, DL- [4TMS]"
"55-1881.1_Mannose, D- [1MEOX] [5TMS]","55-1881.1_Mannose, D- [1MEOX] [5TMS]"
"56-1892.3_Galactose, D- [1MEOX [5TMS]","56-1892.3_Galactose, D- [1MEOX [5TMS]"
57-1837.2_[731; Erythrose [3TMS],57-1837.2_[731; Erythrose [3TMS]
"58-1775.1_Glycerol-3-phosphate, DL- [4TMS]","58-1775.1_Glycerol-3-phosphate, DL- [4TMS]"
"59-1501.7_Threitol, D- [4TMS]","59-1501.7_Threitol, D- [4TMS]"
