tax	F82	S370_full	S777_AD1	S778_AD2	S779_AD3	S780_AD4	S781_AD5	S782_AD6	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;Selenomonas bovis	5	42	15	37589	0	8	5108	34234	77001
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Romboutsia;Romboutsia timonensis	5052	10322	16198	18424	4181	6697	4996	6390	72260
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;Acetivibrio mesophilus	0	17	23005	234	726	8641	24	35	32682
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium saudiense	1315	2521	3456	6112	1180	1489	1393	1436	18902
Bacteria;Bacteria_none;Firmicutes;Tissierellia;Tissierellia_Incertae_sedis;Tissierellia_Incertae_sedis;Sedimentibacter;Sedimentibacter saalensis	128	2257	8208	354	1710	594	229	583	14063
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus;Ruminococcus flavefaciens	256	13264	17	20	56	12	2	4	13631
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium jeddahitimonense	990	1542	2239	3966	668	893	902	886	12086
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Acetivibrio;Acetivibrio straminisolvens	0	55	7948	77	247	2903	9	4	11243
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera indica	27	2	7	7815	1	3	2091	93	10039
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Intestinibacter;Intestinibacter bartlettii	701	1248	2180	2417	536	863	624	841	9410
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera elsdenii	71	7	52	6046	2	19	2371	78	8646
Bacteria;Bacteria_none;Firmicutes;Tissierellia;Tissierellia_Incertae_sedis;Tissierellia_Incertae_sedis;Sedimentibacter;Sedimentibacter hongkongensis	75	1067	4253	293	823	1440	113	249	8313
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Trichococcus;Trichococcus paludicola	6055	825	244	689	120	63	141	147	8284
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Marinicrinis;Marinicrinis sediminis	14	320	3645	857	680	2105	157	104	7882
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Roseimarinus;Roseimarinus sediminis	475	6460	204	328	42	75	51	56	7691
Bacteria;Bacteria_none;Firmicutes;Tissierellia;Tissierellia_Incertae_sedis;Tissierellia_Incertae_sedis;Sedimentibacter;Sedimentibacter hydroxybenzoicus	96	699	2972	369	543	2397	65	149	7290
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium manihotivorum	475	1145	1796	1717	402	532	280	278	6625
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus raffinolactis	5035	310	136	335	48	31	105	98	6098
