OTU,Chris-01,Chris-02,Chris-03,Chris-04,Chris-05,Chris-06,Chris-07,Chris-08,Chris-09,Chris-10,Chris-11,Chris-12,Chris-13,Chris-14,Chris-15,Chris-16,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Archaea,,,,,,
OTU_2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,,
OTU_3,4,2,1,1,0,0,0,0,1,0,4,2,1,0,1,1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Ca_Nitrocosmicus,midas_s_92967
OTU_4,2,3,1,0,1,0,1,2,0,0,0,0,2,1,11,2,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,
OTU_5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium_lacus
OTU_6,5,8,0,0,0,4,2,2,0,0,0,1,14,4,23,17,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,
OTU_7,2,2,1,0,0,0,0,1,0,0,0,0,0,2,39,4,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter_boviskoreani
OTU_8,4,3,0,0,1,3,0,0,1,0,0,0,8,0,5,9,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter_olleyae
OTU_9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter_ruminantium
OTU_10,5,2,1,3,3,0,2,1,3,0,2,1,2,0,0,4,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter_smithii
OTU_11,3,3,1,2,0,1,1,0,1,1,4,3,5,0,5,4,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera_stadtmanae
OTU_12,1,0,0,0,0,3,0,2,1,4,0,0,0,0,0,0,Archaea,Euryarchaeota,Thermococci,Methanofastidiosales,Methanofastidiosaceae,Ca_Methanofastidiosum,
OTU_13,1,0,0,0,0,10,3,1,9,4,21,23,4,15,33,3,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,
OTU_14,1,0,0,0,0,8,7,2,10,2,4,4,1,1,2,0,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,midas_s_5565
OTU_15,2,0,0,0,0,8,11,5,14,5,6,5,1,4,2,1,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,
OTU_16,1,1,0,0,0,15,21,10,22,17,15,6,6,10,4,0,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum_hungatei
OTU_17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,midas_s_118991
OTU_18,6,6,5,5,1,149,119,158,108,124,10,21,5,17,5,4,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosaetaceae,Methanothrix,
OTU_19,2,0,7,4,0,85,68,56,51,38,2,7,7,7,4,3,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosaetaceae,Methanothrix,Methanothrix_soehngenii
