"","V1","V2"
"1","EC:1.1.1.1","Alcohol dehydrogenase"
"2","EC:1.1.1.10","L-xylulose reductase"
"3","EC:1.1.1.100","3-oxoacyl-[acyl-carrier-protein] reductase"
"4","EC:1.1.1.101","Acylglycerone-phosphate reductase"
"5","EC:1.1.1.102","3-dehydrosphinganine reductase"
"6","EC:1.1.1.103","L-threonine 3-dehydrogenase"
"7","EC:1.1.1.105","All-trans-retinol dehydrogenase (NAD(+))"
"8","EC:1.1.1.107","Pyridoxal 4-dehydrogenase"
"9","EC:1.1.1.108","Carnitine 3-dehydrogenase"
"10","EC:1.1.1.11","D-arabinitol 4-dehydrogenase"
"11","EC:1.1.1.116","D-arabinose 1-dehydrogenase (NAD(+))"
"12","EC:1.1.1.117","D-arabinose 1-dehydrogenase (NAD(P)(+))"
"13","EC:1.1.1.122","D-threo-aldose 1-dehydrogenase"
"14","EC:1.1.1.125","2-deoxy-D-gluconate 3-dehydrogenase"
"15","EC:1.1.1.130","3-dehydro-L-gulonate 2-dehydrogenase"
"16","EC:1.1.1.132","GDP-mannose 6-dehydrogenase"
"17","EC:1.1.1.133","dTDP-4-dehydrorhamnose reductase"
"18","EC:1.1.1.136","UDP-N-acetylglucosamine 6-dehydrogenase"
"19","EC:1.1.1.137","Ribitol-5-phosphate 2-dehydrogenase"
"20","EC:1.1.1.14","L-iditol 2-dehydrogenase"
"21","EC:1.1.1.140","Sorbitol-6-phosphate 2-dehydrogenase"
"22","EC:1.1.1.141","15-hydroxyprostaglandin dehydrogenase (NAD(+))"
"23","EC:1.1.1.144","Perillyl-alcohol dehydrogenase"
"24","EC:1.1.1.145","3-beta-hydroxy-Delta(5)-steroid dehydrogenase"
"25","EC:1.1.1.153","Sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)"
"26","EC:1.1.1.156","Glycerol 2-dehydrogenase (NADP(+))"
"27","EC:1.1.1.157","3-hydroxybutyryl-CoA dehydrogenase"
"28","EC:1.1.1.159","7-alpha-hydroxysteroid dehydrogenase"
"29","EC:1.1.1.163","Cyclopentanol dehydrogenase"
"30","EC:1.1.1.169","2-dehydropantoate 2-reductase"
"31","EC:1.1.1.17","Mannitol-1-phosphate 5-dehydrogenase"
"32","EC:1.1.1.170","(decarboxylating)"
"33","EC:1.1.1.173","L-rhamnose 1-dehydrogenase"
"34","EC:1.1.1.178","3-hydroxy-2-methylbutyryl-CoA dehydrogenase"
"35","EC:1.1.1.179","D-xylose 1-dehydrogenase (NADP(+))"
"36","EC:1.1.1.18","Inositol 2-dehydrogenase"
"37","EC:1.1.1.181","Cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase"
"38","EC:1.1.1.184","Carbonyl reductase (NADPH)"
"39","EC:1.1.1.189","Prostaglandin-E(2) 9-reductase"
"40","EC:1.1.1.193","5-amino-6-(5-phosphoribosylamino)uracil reductase"
"41","EC:1.1.1.195","Cinnamyl-alcohol dehydrogenase"
"42","EC:1.1.1.197","15-hydroxyprostaglandin dehydrogenase (NADP(+))"
"43","EC:1.1.1.2","Alcohol dehydrogenase (NADP(+))"
"44","EC:1.1.1.202","1,3-propanediol dehydrogenase"
"45","EC:1.1.1.203","Uronate dehydrogenase"
"46","EC:1.1.1.205","IMP dehydrogenase"
"47","EC:1.1.1.206","Tropinone reductase I"
"48","EC:1.1.1.208","(+)-neomenthol dehydrogenase"
"49","EC:1.1.1.21","Aldehyde reductase"
"50","EC:1.1.1.211","Long-chain-3-hydroxyacyl-CoA dehydrogenase"
"51","EC:1.1.1.215","Gluconate 2-dehydrogenase"
"52","EC:1.1.1.216","Farnesol dehydrogenase"
"53","EC:1.1.1.218","Morphine 6-dehydrogenase"
"54","EC:1.1.1.219","Dihydrokaempferol 4-reductase"
"55","EC:1.1.1.22","UDP-glucose 6-dehydrogenase"
"56","EC:1.1.1.220","6-pyruvoyltetrahydropterin 2'-reductase"
"57","EC:1.1.1.223","Isopiperitenol dehydrogenase"
"58","EC:1.1.1.23","Histidinol dehydrogenase"
