"","KO","S561toS566_AD.AD6","S1001_3_4_AD1_3_4","S1002_5_6_AD2_5_6","S1147_49_50_AD1_3_4","S1148_51_52_AD2_5_6","S1154_57_58_AD2_5_6","F5","F55","F110","F124","F179","S119.full","S370.full","S1273.ADFull","S1554.ADFull","S1813.ADFull"
"1","K00001",9212,9235,8007,9839,6630,9370,10864,9249,11394,10500,10228,11342,10006,11818,10524,9645
"2","K00002",902,912,414,1012,1612,2074,680,470,500,454,381,382,420,468,348,378
"3","K00003",7796,6523,7489,7635,8853,9127,8542,7839,8515,8309,8296,9495,8341,9494,8374,8196
"4","K00004",979,769,742,907,664,1928,1392,1366,1746,1350,1170,1558,1319,1377,1510,1189
"5","K00005",812,601,881,787,1267,1102,548,589,537,427,489,1325,1043,1039,1110,1158
"6","K00006",8,8,25,15,6,13,8,5,4,7,16,2,4,6,3,3
"7","K00007",13,22,96,8,17,115,218,307,254,292,299,2,2,0,12,3
"8","K00008",7055,6281,5545,7490,7581,7304,4973,4484,5921,4631,3902,8439,7178,8353,6900,7151
"9","K00009",740,591,587,799,548,367,624,661,762,653,677,1299,1072,1115,1092,1123
"10","K00010",21857,20531,13087,20528,15031,9930,12598,10970,14876,12582,10890,41081,33882,39596,38204,33464
"11","K00011",102,108,254,157,592,462,567,581,787,656,700,264,321,370,229,287
"12","K00012",11111,9962,9384,13171,9456,9990,9004,8011,8408,9007,8261,14903,13267,14611,13382,13722
"13","K00013",5888,5188,5892,5775,7724,7830,7916,6469,7215,7047,7227,7602,6500,7703,7142,6583
"14","K00014",5276,4849,5111,4884,7422,6244,7374,6408,7209,6933,6781,7324,6358,7543,6400,6341
"15","K00015",6481,6364,4766,7337,4158,2560,2809,2399,2994,2823,2975,6102,5046,5669,5021,4750
"16","K00016",1621,1146,1841,1378,2046,4376,2261,2207,2232,1818,1773,1474,1642,1667,1284,1520
"17","K00018",1446,1201,1284,1482,2721,1489,1797,1599,1257,1364,1255,2111,2048,2354,2075,2127
"18","K00019",1298,1306,2272,1474,1347,1953,3699,3494,3937,4020,3994,3233,2677,3084,2506,2556
