"","X1","X2"
"1","12DICHLORETHDEG-PWY","1,2-dichloroethane degradation"
"2","14DICHLORBENZDEG-PWY","1,4-dichlorobenzene degradation"
"3","1CMET2-PWY","N10-formyl-tetrahydrofolate biosynthesis"
"4","2AMINOBENZDEG-PWY","anthranilate degradation III (anaerobic)"
"5","2ASDEG-PWY","orthanilate degradation"
"6","2OXOBUTYRATECAT-PWY","2-oxobutanoate degradation II"
"7","2PHENDEG-PWY","phenylethylamine degradation I"
"8","3-HYDROXYPHENYLACETATE-DEGRADATION-PWY","4-hydroxyphenylacetate degradation"
"9","4AMINOBUTMETAB-PWY","superpathway of 4-aminobutanoate degradation"
"10","4-HYDROXYMANDELATE-DEGRADATION-PWY","4-hydroxymandelate degradation"
"11","4TOLCARBDEG-PWY","4-toluenecarboxylate degradation"
"12","6-HYDROXYCINEOLE-DEGRADATION-PWY","1,8-cineole degradation"
"13","ACETATEUTIL-PWY","superpathway of acetate utilization and formation"
"14","ACETOACETATE-DEG-PWY","acetoacetate degradation (to acetyl CoA)"
"15","ADENOSYLHOMOCYSCAT-PWY","L-methionine salvage from L-homocysteine"
"16","AEROBACTINSYN-PWY","aerobactin biosynthesis"
"17","ALACAT2-PWY","L-alanine degradation II (to D-lactate)"
"18","ALADEG-PWY","L-alanine degradation I"
"19","ALANINE-DEG3-PWY","L-alanine degradation III"
"20","ALANINE-SYN2-PWY","L-alanine biosynthesis II"
"21","ALANINE-VALINESYN-PWY","L-alanine biosynthesis I"
"22","ALKANEMONOX-PWY","two-component alkanesulfonate monooxygenase"
"23","ALLANTOINDEG-PWY","superpathway of allantoin degradation in yeast"
"24","ALL-CHORISMATE-PWY","superpathway of chorismate metabolism"
"25","AMMASSIM-PWY","ammonia assimilation cycle III"
"26","AMMOXID-PWY","ammonia oxidation I (aerobic)"
"27","ANAEROFRUCAT-PWY","homolactic fermentation"
"28","ANAGLYCOLYSIS-PWY","glycolysis III (from glucose)"
"29","ANAPHENOXI-PWY","L-phenylalanine degradation II (anaerobic)"
"30","ARABCAT-PWY","L-arabinose degradation I"
"31","ARGASEDEG-PWY","L-arginine degradation I (arginase pathway)"
"32","ARGDEG-III-PWY","L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)"
"33","ARGDEG-IV-PWY","L-arginine degradation VIII (arginine oxidase pathway)"
"34","ARGDEG-PWY","superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
"35","ARGDEGRAD-PWY","L-arginine degradation V (arginine deiminase pathway)"
"36","ARGDEG-V-PWY","L-arginine degradation X (arginine monooxygenase pathway)"
"37","ARG-GLU-PWY","L-arginine degradation VII (arginase 3 pathway)"
"38","ARGININE-SYN4-PWY","L-ornithine de novo  biosynthesis"
"39","ARGORNPROST-PWY","arginine, ornithine and proline interconversion"
"40","ARG+POLYAMINE-SYN","superpathway of arginine and polyamine biosynthesis"
"41","ARG-PRO-PWY","L-arginine degradation VI (arginase 2 pathway)"
"42","ARGSPECAT-PWY","spermine biosynthesis"
"43","ARGSYNBSUB-PWY","L-arginine biosynthesis II (acetyl cycle)"
"44","ARGSYN-PWY","L-arginine biosynthesis I (via L-ornithine)"
"45","ARO-PWY","chorismate biosynthesis I"
"46","ASPARAGINE-BIOSYNTHESIS","L-asparagine biosynthesis I"
"47","ASPARAGINE-DEG1-PWY-1","L-asparagine degradation III (mammalian)"
"48","ASPARAGINE-DEG1-PWY","L-asparagine degradation I"
"49","ASPARAGINESYN-PWY","L-asparagine biosynthesis II"
"50","ASPARTATE-DEG1-PWY","L-aspartate degradation I"
"51","ASPARTATESYN-PWY","L-aspartate biosynthesis"
"52","ASPASN-PWY","superpathway of L-aspartate and L-asparagine biosynthesis"
"53","ASPSYNII-PWY","cyanide detoxification I"
"54","AST-PWY","L-arginine degradation II (AST pathway)"
"55","BENZCOA-PWY","anaerobic aromatic compound degradation (Thauera aromatica)"
"56","BETA-ALA-DEGRADATION-I-PWY","&beta;-alanine degradation I"
"57","BETSYN-PWY","glycine betaine biosynthesis I (Gram-negative bacteria)"
"58","BGALACT-PWY","lactose degradation III"
"59","BIOTIN-BIOSYNTHESIS-PWY","biotin biosynthesis I"
"60","BRANCHED-CHAIN-AA-SYN-PWY","superpathway of branched amino acid biosynthesis"
"61","BSUBPOLYAMSYN-PWY","spermidine biosynthesis I"
"62","CALVIN-PWY","Calvin-Benson-Bassham cycle"
"63","CAMALEXIN-SYN","camalexin biosynthesis"
"64","CARNMET-PWY","L-carnitine degradation I"
"65","CAROTENOID-PWY","superpathway of carotenoid biosynthesis"
"66","CATECHOL-ORTHO-CLEAVAGE-PWY","catechol degradation to &beta;-ketoadipate"
"67","CENTBENZCOA-PWY","benzoyl-CoA degradation II (anaerobic)"
"68","CENTFERM-PWY","pyruvate fermentation to butanoate"
"69","CHLOROPHYLL-SYN","chlorophyllide a biosynthesis I (aerobic, light-dependent)"
"70","CHOLINE-BETAINE-ANA-PWY","choline degradation I"
"71","CITRULBIO-PWY","L-citrulline biosynthesis"
"72","CITRULLINE-DEG-PWY","L-citrulline degradation"
"73","CO2FORM-PWY","methanogenesis from methanol"
"74","COA-PWY-1","coenzyme A biosynthesis II (mammalian)"
"75","COA-PWY","coenzyme A biosynthesis I"
"76","COBALSYN-PWY","adenosylcobalamin salvage from cobinamide I"
"77","CODH-PWY","reductive acetyl coenzyme A pathway"
"78","COLANSYN-PWY","colanic acid building blocks biosynthesis"
"79","COMPLETE-ARO-PWY","superpathway of aromatic amino acid biosynthesis"
"80","CRNFORCAT-PWY","creatinine degradation I"
"81","CYANCAT-PWY","cyanate degradation"
"82","CYCLOHEXANOL-OXIDATION-PWY","cyclohexanol degradation"
"83","CYSTEINE-DEG-PWY","L-cysteine degradation I"
"84","CYSTSYN-PWY","L-cysteine biosynthesis I"
"85","DAPLYSINESYN-PWY","L-lysine biosynthesis I"
