"","ko","S561toS566_AD.AD6","S1001_3_4_AD1_3_4","S1002_5_6_AD2_5_6","S1147_49_50_AD1_3_4","S1148_51_52_AD2_5_6","S1154_57_58_AD2_5_6","F5","F55","F110","F124","F179","S119.full","S370.full","S1273.ADFull","S1554.ADFull","S1813.ADFull"
"1","ko05340",6296,5813,6193,7444,4292,6632,7128,5894,6790,6869,7265,10372,8472,9717,8108,9183
"2","ko00564",103018,96095,97405,111596,91483,96424,115524,100132,110485,112123,111677,140038,119627,136069,122530,120047
"3","ko00680",377068,353427,283822,394102,373575,289369,280281,237746,265794,260004,260418,449248,387819,430619,394054,390720
"4","ko00562",54231,50376,43746,56434,41741,36556,50459,43436,53652,50304,48502,86624,72105,83518,75365,71758
"5","ko00563",2657,2666,1915,2608,1619,1316,5291,2800,3448,2801,2915,4375,3811,4334,3476,3718
"6","ko03030",241751,219472,213787,255522,258301,248958,168211,144271,152544,152980,149570,277957,235877,257523,243425,241634
"7","ko00561",89640,82545,90034,95936,90834,96424,105613,87723,102835,98583,98159,121362,103277,119851,100128,100836
"8","ko00440",3117,2877,4835,3204,3312,5564,7916,6663,7500,7784,7581,5137,4702,5683,5102,4880
"9","ko00250",278566,255936,250439,292886,277316,254988,277300,238143,258611,260723,258743,347674,293673,336336,304481,299360
"10","ko04062",92,112,184,124,73,209,314,331,353,374,340,295,311,650,445,538
"11","ko00740",27891,25754,26386,29900,28081,25253,30184,25702,28131,28856,27855,38204,32998,37587,33633,33375
"12","ko04664",14,24,58,51,10,12,100,159,161,179,146,27,29,23,23,15
"13","ko04111",2161,2659,2243,3061,1324,1577,1673,1514,1590,1523,1670,3450,2623,3036,2985,3131
"14","ko04940",22979,20755,21381,24425,20112,20074,20108,16457,18215,17972,18032,25963,22682,25461,22864,22363
"15","ko00010",289508,266015,256005,306275,273225,270394,282601,234825,267005,260586,261151,348375,296055,334166,299961,298850
"16","ko05412",183,293,355,197,136,344,766,608,733,717,786,2073,2035,1856,1638,1605
"17","ko00195",49022,43586,45558,50818,49476,36870,57720,49861,53810,55549,54200,62071,53475,58915,55129,52916
"18","ko04650",59,102,94,97,39,82,102,161,174,181,226,106,62,81,62,197
"19","ko03450",7411,6557,8354,7416,10500,10021,13391,9377,12852,12332,12168,10368,9314,11472,7919,9011
"20","ko00760",111700,103626,92812,118137,105753,95432,94059,80000,87753,90424,88423,126153,107530,122882,111674,108918
"21","ko00920",57219,53312,66436,59752,61023,71731,81843,69855,75804,76939,76669,72392,61230,70562,61062,59253
"22","ko00311",8561,8110,8681,9136,5384,6620,13599,12517,14704,15063,14626,16677,13945,16442,14748,13980
"23","ko00310",80941,73784,90489,87232,64628,79854,139937,118362,139720,136834,137893,129831,110333,127190,107488,105829
"24","ko04146",73565,64241,72428,73243,67364,69591,108207,94562,105083,108575,108232,119675,100451,112742,108872,98469
"25","ko00600",58302,53627,47367,57340,50239,46952,52656,41046,47835,45442,42976,81590,68426,81264,72331,71674
"26","ko04140",370,361,594,603,442,470,1018,679,925,880,920,532,503,750,583,653
"27","ko04141",37315,35454,22888,39356,35248,22489,16906,15633,15673,16502,16476,36259,30563,34517,33932,33167
"28","ko04142",38267,37205,26810,40026,29445,27009,31576,26382,30181,30463,27444,58041,48061,55949,50106,48841
"29","ko00604",3524,3651,3095,4085,3623,3709,4197,3948,3927,4341,3761,10901,9181,10456,9522,9760
"30","ko04260",4986,4670,6367,5931,3116,6034,12315,14596,13182,11831,12401,6501,5730,6405,5019,5233
"31","ko03040",4470,4470,2327,5725,4949,1489,2054,1920,2166,2191,2047,3331,2805,3096,2896,2967
"32","ko04110",2671,3166,2220,3490,1888,1531,1568,1468,1416,1436,1583,3697,2906,3347,3338,3485
"33","ko05142",2769,2972,3109,2833,1621,2518,6609,5471,6534,6406,6393,7423,5705,6963,6303,6159
"34","ko04540",170,214,347,290,189,235,702,795,869,841,812,431,393,645,643,554
"35","ko04710",8,22,34,14,10,43,18,32,73,41,28,14,8,11,24,27
"36","ko04712",55644,52932,46516,63308,32326,38189,85256,72492,80111,97096,113167,88472,77974,88222,74507,72143
"37","ko00909",130,130,275,178,170,142,250,285,359,434,428,142,216,307,177,138
"38","ko00513",4235,4728,1369,4198,4219,1088,887,806,868,897,955,5342,4751,4924,4830,4951
"39","ko00512",32,33,34,91,71,151,77,69,103,77,73,70,49,50,42,37
"40","ko04973",13967,14358,10102,13378,12306,13021,10295,9257,8155,9017,9083,17157,14951,17920,13938,15332
"41","ko00510",30078,29213,19575,33337,20521,14678,17304,14047,15996,15668,14989,37906,33061,36163,32625,32956
"42","ko05110",1137,1111,648,1203,785,555,1154,1458,1054,1066,1260,3023,2240,3175,3138,2754
"43","ko04974",13018,12882,9032,15065,8759,7473,10788,9912,10384,11493,11045,21041,15861,18941,17407,17360
"44","ko04976",6933,5783,4874,7130,3948,4196,5970,4319,5296,4800,4729,7048,5889,6708,4806,5614
"45","ko00450",111319,102626,105008,120217,112428,106145,116555,100142,109527,111459,108700,139445,118770,135422,119917,119922
"46","ko01051",26833,23675,21205,28276,24972,21125,21239,17803,20646,20723,20204,29789,25564,29033,25518,25092
"47","ko00565",7374,6062,6211,7031,3925,4936,9319,7043,8908,9228,9151,9035,8062,9458,7177,7505
"48","ko00904",39,39,143,51,32,97,691,622,688,714,680,160,135,168,122,100
"49","ko00524",20904,19804,16423,21102,19173,15421,12164,9384,11558,10625,10243,20863,17270,20681,17705,18116
"50","ko00300",152716,139060,136376,160024,160415,144998,142591,123610,134030,134267,132483,179937,153336,176243,157716,156294
"51","ko00402",175,101,25,86,5,22,0,0,0,0,0,56,27,10,50,28
"52","ko05222",986,1127,2497,1234,943,2629,6718,6250,6626,7186,7102,2357,1979,2320,1988,1642
"53","ko00514",6035,3330,3871,3521,4589,3288,5597,4807,5405,5147,5407,3755,3475,3888,3347,3369
"54","ko05416",977,1116,2418,1240,876,2576,6343,5885,6218,6750,6725,2112,1772,2027,1831,1426
"55","ko00260",230070,217549,220784,254900,230134,208757,252410,215506,247377,246010,244767,295051,251740,292246,251717,252398
"56","ko00190",239175,222682,246852,260696,227609,218929,332772,292699,314969,318912,315461,339888,291291,328198,286975,282288
"57","ko03440",308186,280030,262760,321224,309812,289738,218460,189289,197250,201374,195946,338468,286189,320942,298761,295053
"58","ko00750",38774,36589,36387,42567,30399,36679,40304,34960,38325,38491,38106,51442,43640,50376,43717,43683
"59","ko00950",21753,21013,20823,24268,20792,15747,24765,21193,25979,25070,23950,31916,26950,31478,27978,26919
"60","ko05140",82,53,44,37,46,31,95,165,192,192,255,76,86,113,72,103
"61","ko00592",7124,6128,8639,7602,5765,8068,12991,11513,13034,13885,13568,10118,8514,9882,8716,7513
"62","ko00591",1418,1104,2273,1584,1741,2085,3890,3310,3949,3940,4002,2646,2344,2964,1795,2125
"63","ko00590",6385,6495,10511,7464,5973,8643,18925,17786,18894,19911,19703,12909,10984,13501,11158,10982
"64","ko00062",72,57,101,57,54,110,464,415,409,602,592,128,118,117,114,126
"65","ko00061",89156,82888,92806,95845,86352,115472,134628,118343,134679,131834,130517,127566,108044,128719,111028,106900
"66","ko04662",82,123,87,97,36,83,169,191,224,229,209,112,83,97,80,87
"67","ko03070",161000,149035,152315,173222,162171,166012,186762,167444,173352,181851,185489,211683,180282,205973,186342,182447
"68","ko00253",9408,8400,12409,9144,8331,17478,23378,21398,22810,23707,23700,15971,14018,16070,14418,12965
"69","ko03060",142157,131862,122901,155095,132847,122989,116143,99629,105835,108139,107769,167553,140926,161135,145487,146503
"70","ko04370",184,293,260,372,206,135,221,348,345,403,368,526,374,510,490,533
"71","ko04730",112,170,221,230,86,171,339,341,396,426,365,206,111,193,217,200
"72","ko04740",137,203,218,260,120,162,202,243,254,237,181,244,279,503,465,369
"73","ko00380",91389,83783,112649,98895,79473,103610,188156,160366,190354,186426,186565,154005,131166,155083,125696,124932
"74","ko00500",302591,267835,226188,301079,263056,302858,209606,173589,189104,187669,182082,336875,290777,330776,288320,304381
"75","ko05120",11456,9584,11926,9973,15682,18214,14306,13474,12633,12946,12874,13829,11550,13563,12827,12240
"76","ko04666",881,773,637,885,411,444,1437,1086,1172,1127,1344,1048,797,1034,913,1030
"77","ko04950",0,0,3,0,0,2,8,6,6,2,4,0,0,0,0,0
"78","ko04966",53,69,127,88,60,105,1,69,46,34,49,55,23,35,20,26
"79","ko05322",511,586,864,771,601,659,999,991,1123,990,1054,506,500,512,465,484
"80","ko04964",17997,15882,14085,18078,14019,16491,16232,13716,14808,15204,15357,19102,16451,17911,15444,15013
"81","ko04962",2950,3109,2504,3577,1702,1582,3519,2991,3080,3356,3864,6422,5509,5810,5800,5499
"82","ko04960",3519,3061,1923,3975,1102,1663,1796,1289,1271,1185,1378,2951,2346,2175,1637,2094
"83","ko04660",99,137,105,106,44,101,170,227,225,239,251,139,103,120,92,181
"84","ko00625",41382,35800,40936,40633,42842,59594,67111,56341,68224,62988,64656,56265,48991,57191,45467,45609
"85","ko00624",1649,1565,3555,1918,2114,3425,6551,6568,7741,7335,7336,3117,2788,3748,2641,2470
"86","ko00627",46960,44622,56375,52684,42027,49747,91197,77034,95705,90582,90024,79410,68118,83273,63199,63913
"87","ko00626",25863,22203,25018,25628,24025,32330,36199,31352,39114,35602,35090,32633,28475,34557,26832,26700
"88","ko00621",9355,6740,8194,7661,10401,12717,11042,9942,11813,10813,11264,8930,8457,10326,7781,8339
"89","ko00620",303960,277373,290920,318300,290660,311684,374023,319668,354449,353852,355063,404923,346092,390338,354031,339554
"90","ko00623",17946,16122,24647,17984,14598,22540,43789,38255,42985,43052,43624,31523,26629,32604,25641,25608
"91","ko00622",10858,7869,10044,9155,10911,14433,15460,12671,15180,14773,15587,11026,10310,12582,9395,9983
"92","ko00270",211583,196573,197326,220758,225986,228169,207330,181597,194422,197267,194793,261902,224683,253966,233931,226436
"93","ko04380",808,1124,584,963,995,391,398,411,485,545,464,1907,1745,1795,1640,1653
"94","ko00940",36426,31942,32071,35437,33387,40661,32176,26106,27048,27524,26557,48633,42073,47448,39582,45014
"95","ko00941",8754,7968,7123,9359,6374,5590,8206,7025,8173,8419,7756,11335,9778,11535,9226,9667
"96","ko01053",5823,4853,7808,6378,5060,8662,15227,13833,17001,14853,14216,11630,10353,12900,8935,8874
"97","ko00943",1057,914,690,955,498,489,1067,963,1068,1129,1207,817,700,770,780,654
"98","ko00100",5092,4689,5361,5879,3334,4524,9911,7707,9303,10350,10757,10295,8331,9976,8594,7955
"99","ko00945",1205,1006,1543,1216,1690,1298,2393,2125,2451,2509,2350,2017,1675,2241,1629,1698
"100","ko01057",4,12,26,14,11,61,119,76,127,116,108,22,37,33,27,28
"101","ko01056",1123,1005,1457,1234,1297,1379,2375,2151,2371,2235,2336,2249,2104,1969,1700,1699
"102","ko05016",8898,8552,12879,9667,9618,12717,25323,28599,27830,26589,26999,15045,13030,15230,13358,12830
"103","ko04670",89,105,182,112,58,173,302,260,297,294,278,129,77,100,83,127
"104","ko04145",941,1086,761,965,556,489,1410,1668,1677,1633,1695,2658,2489,2768,2289,2450
"105","ko00071",171810,148945,188160,176439,144522,191609,304448,258364,306706,298593,297634,285076,241223,280856,241903,226295
"106","ko00072",37932,32753,38182,38155,24814,34420,55755,48768,55715,55431,55979,55542,47160,52771,46547,44477
"107","ko04360",110,150,186,171,52,188,257,212,273,273,234,276,179,136,297,257
"108","ko05219",1305,1037,1918,1164,1319,1719,3896,3323,3913,3846,4355,1917,1606,1983,1343,1506
"109","ko05218",14,14,26,31,11,10,22,86,96,86,25,35,19,19,13,12
"110","ko05217",445,359,774,547,380,292,903,779,997,1033,812,702,695,873,508,426
"111","ko05216",8,12,24,11,15,12,6,27,46,25,16,19,2,0,2,18
"112","ko05215",11533,10295,8322,12094,10829,10631,7405,6983,6115,7102,7074,10745,8626,10296,10104,9875
"113","ko05214",54,72,104,134,50,58,110,172,182,163,158,136,102,124,111,157
"114","ko05213",17,20,46,46,9,18,81,130,133,155,128,139,121,98,10,106
"115","ko05212",7,22,38,24,21,19,21,95,126,98,39,43,2,14,10,32
"116","ko05211",4258,3864,4668,5019,3684,3666,7358,6624,7516,7904,7812,4875,4340,4867,3654,3940
"117","ko05210",1013,1144,2660,1238,1170,2738,6394,5988,6342,6818,6690,2213,1884,2093,1770,1514
"118","ko01055",17174,16912,13439,18680,13902,12468,12315,10325,11395,11489,10951,22207,19107,20786,18314,18814
"119","ko00902",2070,1843,2107,2445,1885,3072,2886,2547,3703,2692,2334,3335,2922,4047,2047,2473
"120","ko00534",727,596,845,643,742,922,1473,1378,1762,1913,1668,778,791,996,667,643
"121","ko04910",35942,32693,29154,36980,32668,35527,31600,26587,28883,28492,28665,43229,37252,42210,39294,38592
"122","ko00531",13892,13473,12240,14309,10797,10531,14814,12175,14684,14685,12260,25478,21447,25436,22196,21305
"123","ko04916",263,353,466,384,308,271,591,527,670,607,548,530,531,707,609,623
"124","ko00533",620,543,154,751,47,85,44,68,55,48,45,360,278,436,433,397
"125","ko00532",413,269,208,195,260,356,222,112,154,175,131,82,118,111,208,94
"126","ko00360",65644,61972,74058,71842,66668,73443,108936,94687,111607,109885,108717,108984,94018,111240,93757,91893
"127","ko00633",37923,36078,28351,39420,37085,25371,34073,28719,31867,31326,32695,49018,42078,47176,42665,42633
"128","ko00630",157335,144394,172190,168161,145190,163846,241032,203919,230860,228991,232681,244788,209199,237375,210847,202063
"129","ko00363",6105,5279,7495,6666,7428,7892,12532,10118,13069,11375,11583,10345,8805,11454,7713,8172
"130","ko00364",3670,3632,5555,3905,3391,5327,12010,11274,12636,12968,13424,7081,5787,7369,5488,5603
"131","ko05130",1337,1166,1029,1460,473,667,1260,1275,1334,1296,1249,482,457,495,609,455
"132","ko04115",1075,1164,2531,1283,953,2655,6667,6199,6483,7069,7031,2164,1869,2076,1786,1529
"133","ko04114",541,701,539,866,586,494,828,729,729,739,897,635,654,986,770,887
"134","ko00121",836,887,1176,1056,844,948,1596,1376,1679,1534,1479,1721,1632,1889,1381,1609
"135","ko04914",13257,12295,9896,14436,11714,11645,8563,7977,7048,8043,8092,13249,10434,12562,12554,12076
"136","ko00430",23930,22655,26656,26563,24543,25948,36376,33519,35757,35889,35966,36854,31787,37822,32892,32595
"137","ko02010",608060,576275,574896,665977,558636,541704,664975,587773,678189,646361,643040,760586,658199,748669,640165,659935
"138","ko00130",61318,57172,59715,66768,51466,53095,88035,76182,85915,87595,85562,86501,74023,85429,73604,72949
"139","ko04330",951,878,282,1143,99,124,567,486,506,527,571,546,572,604,404,670
"140","ko03050",5392,5532,4049,5278,5673,3598,6103,4137,5990,5367,6120,6580,5750,6741,5172,6182
"141","ko00361",7290,6938,11482,8325,7177,11523,22880,19757,23615,22973,23914,14411,12766,15855,11535,11901
"142","ko00040",101693,94129,88905,106339,99343,104176,99223,86384,100679,94876,92887,136399,116005,135098,118740,122403
"143","ko00730",63169,58265,53336,63448,67757,64734,52519,45924,47046,47569,47096,69072,60240,66256,62558,60858
"144","ko00362",87037,75782,97827,90420,73511,100870,156633,135429,158999,154855,154893,133034,113645,132444,109740,105811
"145","ko01040",40626,38075,48800,45877,40007,51351,79685,68258,81977,78541,76802,63891,54516,67535,52082,52269
"146","ko00603",18097,17617,13963,18658,18894,14881,12872,10971,12105,11226,10155,26659,22948,25517,23846,23359
"147","ko03018",191242,175011,172272,202966,169564,161021,178487,151951,160236,167629,164436,217942,183985,209636,189844,189120
"148","ko04270",369,425,262,486,415,278,505,486,476,521,496,333,310,553,455,495
"149","ko00281",27065,23741,37625,29778,23763,36279,62643,52462,63806,62579,61717,47377,40622,50188,38190,36682
"150","ko00280",202243,182470,226422,217593,172099,205824,343053,290808,340538,336356,335342,321476,271470,318443,264909,257570
"151","ko03013",41762,37787,25787,41842,39383,24874,16128,13832,15287,15435,14810,39216,33015,36488,34233,33242
"152","ko04626",44684,41116,40384,45112,48059,42148,41396,35946,36633,37662,37913,47637,40703,45377,41959,41012
"153","ko05200",17395,15766,16589,19083,16158,17415,22465,20584,21146,23041,22675,18792,15706,18455,16372,15981
"154","ko00601",1742,1542,966,2179,339,476,131,187,168,202,207,1236,1042,1327,1182,1299
"155","ko03015",4763,4383,2275,5294,5718,1884,2414,1721,1937,1963,2162,4249,3632,3952,3474,3623
"156","ko00312",5826,4051,4251,5041,14615,8241,5489,5331,5978,5559,5797,5544,4414,6519,4783,5011
"157","ko05020",1042,1104,1292,1293,1506,2215,1592,1560,1793,2046,2027,1304,1157,1638,1197,1182
"158","ko05143",7468,6126,4046,5585,5477,3116,7069,5370,6797,6830,6888,9937,8920,10868,8829,9559
"159","ko00523",45999,45289,35104,49639,39985,36539,34213,28931,31702,32173,30367,61403,51862,56618,51214,51715
"160","ko00520",350950,325118,279784,372959,310205,280677,248433,211335,230242,229267,223453,420849,358140,406500,370330,370374
"161","ko00521",112891,107565,82895,117596,94629,83875,76125,63048,74327,70907,67262,147555,123148,139412,126583,124087
"162","ko05146",4527,4172,3989,4266,5580,4148,4148,4025,4495,4393,4178,10834,9686,10143,9156,9647
"163","ko05145",1647,2146,2903,1952,1422,2801,6861,6479,6897,7340,7298,2521,2185,2419,2079,1668
"164","ko05144",1495,998,281,1592,2424,128,234,322,239,243,196,429,291,386,296,257
"165","ko00052",161568,150898,127655,169329,136342,127221,108745,92775,105712,97524,92614,181079,152666,177468,157920,159266
"166","ko00053",29848,27544,32956,33234,28496,33465,52196,45994,54215,51799,52715,48103,41118,48029,39995,41383
"167","ko00051",137354,125286,109981,144409,128444,114887,97451,81853,92665,88708,85494,168044,142610,162944,147340,148266
"168","ko00401",31250,29472,27509,33375,32712,26332,30416,26191,28343,28867,28806,40478,34266,39795,36910,34772
"169","ko00400",118510,107455,111351,113062,142440,135928,141058,122333,131119,130787,129541,152079,129988,149035,136743,131040
"170","ko04020",328,462,548,629,388,500,614,906,1014,936,848,883,827,1174,1007,992
"171","ko00350",65695,61204,69078,69738,65797,70704,101004,88329,105746,103582,100543,94570,80678,96001,80222,78632
"172","ko00480",65359,62007,78306,73753,62291,67272,118011,105555,115324,119765,120455,101486,86995,101657,87814,85786
"173","ko00643",16685,15328,18150,17627,12527,15935,32270,26895,31343,31635,32559,28280,24211,27492,24362,23464
"174","ko00642",7750,6431,9266,8268,6543,8669,13685,11789,13467,13665,13915,11384,9921,11683,9477,8944
"175","ko00640",224994,204655,234261,238768,200340,228419,333629,280762,324116,317932,318434,341176,289667,332966,286741,276938
"176","ko00720",277560,257798,266907,292826,260122,253867,334636,286079,311238,317625,318400,378799,321773,360784,329674,315322
"177","ko00960",33029,30416,30242,35406,35264,28051,36842,31514,36471,35478,35098,44538,37775,45104,39099,37700
"178","ko02020",621643,558186,553188,632892,566849,596119,763798,677555,708922,726915,748482,742573,627680,697199,666343,615024
"179","ko00120",4416,3965,5718,4904,3422,5650,9922,8075,9351,8983,9811,8338,7216,8268,7268,6632
"180","ko00965",1186,1283,1791,1314,1049,1469,3854,3023,4169,4076,3595,4504,3887,4684,3721,4217
"181","ko03008",16548,16199,12220,17020,15622,10939,11884,10067,10675,11186,11280,18235,15735,16861,15802,17172
"182","ko05414",490,491,690,428,374,542,1306,974,1218,1160,1197,2600,2445,2459,2126,2169
"183","ko00290",174670,156701,170952,177774,180747,171507,207513,175426,191233,194771,191069,225952,195029,223075,197972,194128
"184","ko04614",1233,1184,1667,1189,799,1183,2630,2444,2676,2680,2860,3552,2578,2993,2892,2573
"185","ko04610",1153,1176,422,1300,1004,254,737,675,808,796,897,861,870,1437,851,848
"186","ko04340",481,405,862,607,434,344,1022,941,1140,1184,972,867,912,1255,829,728
"187","ko03410",130528,119184,118126,139710,126988,128542,111658,93210,105563,104700,104465,146731,125031,139448,124440,126195
"188","ko05010",19439,18375,22948,21953,17589,23737,33343,35456,34559,33433,32923,26259,22285,25232,21956,21478
"189","ko05012",3011,3455,7550,3831,3592,7587,18993,25838,23784,21011,21007,6581,5942,7094,5889,5354
"190","ko00980",22856,21424,26508,24920,18761,26400,44589,39207,47807,45578,45620,33612,29372,35448,27472,27561
"191","ko00981",10,5,5,4,0,0,3,19,15,17,4,1,8,3,0,4
"192","ko00410",87933,78498,100262,95725,76530,96775,156262,130460,159179,152640,150670,143497,121744,147147,114195,114259
"193","ko00983",74464,69543,62252,83429,69324,63592,53550,44979,49442,49593,48147,85624,72086,80997,70998,74888
"194","ko05150",11838,9058,5860,11999,5481,3676,9552,8056,9334,7659,7693,8583,9293,10676,7843,8287
"195","ko00791",1633,1470,3828,1965,2221,3966,8240,6966,7659,7609,8115,3771,3299,3691,3018,2927
"196","ko00790",46871,43448,42978,51003,45550,38015,52000,45356,49074,49382,48221,62197,52686,60438,53067,52516
"197","ko05131",61,92,160,89,42,184,453,384,497,494,495,104,74,95,73,128
"198","ko04711",4,5,35,18,4,22,8,28,9,31,26,32,19,8,8,9
