Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions	Id	Common-Name
lactucaxanthin biosynthesis	Secondary Metabolite Biosynthesis	C<sub>40</sub> Carotenoid Biosynthesis	Magnoliopsida	Lactuca sativa romaine	"&epsilon;-carotene hydroxylase // &epsilon;,&epsilon;-carotene-3-diol hydroxylase // delta-carotene  ->  epsilon-carotene"	PWY-5175	lactucaxanthin biosynthesis
methylglyoxal degradation IV	Methylglyoxal Detoxification // Superpathways // Aldehyde Degradation	Methylglyoxal Detoxification // Superpathways	Bacteria <bacteria>	Escherichia coli	(S)-lactaldehyde + NADP+  <-  methylglyoxal + NADPH + H+ // L-lactaldehyde degradation (aerobic)	PWY-5459	methylglyoxal degradation IV
NAD <i>de novo</i> biosynthesis IV (anaerobic)	"Cofactor, Carrier, and Vitamin Biosynthesis"	NAD Biosynthesis	Archaea // Bacteria <bacteria>	Escherichia coli // Porphyromonas gingivalis // Pyrococcus horikoshii	L-aspartate : fumarate oxidoreductase (deaminating) // 2-iminosuccinate + glycerone phosphate  ->  quinolinate + phosphate + 2 H2O // beta-nicotinate D-ribonucleotide + CO2 + diphosphate  <-  5-phospho-alpha-D-ribose 1-diphosphate + quinolinate + 2 H+ // ammonium + ATP + nicotinate adenine dinucleotide  ->  AMP + NAD+ + diphosphate + H+ // ATP + nicotinate adenine dinucleotide + L-glutamine + H2O  ->  L-glutamate + AMP + NAD+ + diphosphate + H+ // beta-nicotinate D-ribonucleotide + ATP + H+  ->  nicotinate adenine dinucleotide + diphosphate	PWY-8277	NAD de novo biosynthesis IV (anaerobic)
L-tryptophan degradation III (eukaryotic)	Superpathways // Amino Acid Degradation	Superpathways // L-tryptophan Degradation	Fungi // Metazoa	Homo sapiens // Mus musculus // Rattus norvegicus // Saccharomyces cerevisiae	glutaryl-CoA degradation // L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde // 2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA	TRYPTOPHAN-DEGRADATION-1	L-tryptophan degradation III (eukaryotic)
maltose degradation	Carbohydrate Degradation	Sugar Degradation	Bacteria <bacteria>	Levilactobacillus brevis // Lactococcus lactis // Neisseria meningitidis	beta-D-glucopyranose 1-phosphate  <-->  beta-D-glucose 6-phosphate // maltose + phosphate  ->  beta-D-glucopyranose 1-phosphate + D-glucopyranose	MALTOSECAT-PWY	maltose degradation
lauryl-hydroxychlorobactene glucoside biosynthesis	Secondary Metabolite Biosynthesis	C<sub>40</sub> Carotenoid Biosynthesis	Chlorobiaceae	Chlorobaculum limnaeum // Chlorobaculum tepidum // Chlorobium phaeobacteroides // Chlorobium phaeobacteroides	1-hydroxychlorobactene  <-  chlorobactene + H2O // UDP-alpha-D-glucose + 1-hydroxychlorobactene  ->  UDP + hydroxychlorobactene glucoside + H+ // hydroxychlorobactene glucoside + lauroyl-CoA  ->  lauryl-hydroxychlorobactene glucoside + coenzyme A	PWY-7940	lauryl-hydroxychlorobactene glucoside biosynthesis
NAD salvage pathway V (PNC V cycle)	"Cofactor, Carrier, and Vitamin Biosynthesis"	NAD Biosynthesis	Eukaryota	Saccharomyces cerevisiae	a [histone]-N6-acetyl-L-lysine + NAD+ + H2O  ->  a [histone]-L-lysine + 2''-O-acetyl-ADP-ribose + nicotinamide // ATP + nicotinate adenine dinucleotide + L-glutamine + H2O  ->  L-glutamate + AMP + NAD+ + diphosphate + H+ // nicotinamide + H2O  ->  ammonium + nicotinate // nicotinate + 5-phospho-alpha-D-ribose 1-diphosphate + ATP + H2O  ->  beta-nicotinate D-ribonucleotide + ADP + diphosphate + phosphate // beta-nicotinate D-ribonucleotide + ATP + H+  ->  nicotinate adenine dinucleotide + diphosphate	PWY3O-4107	NAD salvage pathway V (PNC V cycle)
L-tryptophan degradation VIII (to tryptophol)	Amino Acid Degradation	L-tryptophan Degradation	Fungi	Saccharomyces cerevisiae	L-tryptophan + 3-phenyl-2-oxopropanoate  <-->  (indol-3-yl)pyruvate + L-phenylalanine // (indol-3-yl)ethanol + NAD+  <-  (indol-3-yl)acetaldehyde + NADH + H+ // (indol-3-yl)pyruvate + H+  ->  CO2 + (indol-3-yl)acetaldehyde // L-tryptophan + 2-oxoglutarate  <-->  (indol-3-yl)pyruvate + L-glutamate	PWY-5081	L-tryptophan degradation VIII (to tryptophol)
D-tagatose degradation	Carbohydrate Degradation	Sugar Degradation	Bacteria <bacteria>	Bacillus licheniformis // Klebsiella oxytoca // Klebsiella pneumoniae // Salmonella enterica	"ATP + alpha-D-tagatopyranose 1-phosphate  ->  D-tagatofuranose 1,6-bisphosphate + ADP + H+ // an [HPr protein]-Npi-phospho-L-histidine + D-tagatopyranose[out]  ->  alpha-D-tagatopyranose 1-phosphate[in] + an [HPr]-L-histidine // D-tagatofuranose 1,6-bisphosphate  ->  glycerone phosphate + D-glyceraldehyde 3-phosphate"	PWY-8324	D-tagatose degradation
&beta;-carotene biosynthesis	Secondary Metabolite Biosynthesis	C<sub>40</sub> Carotenoid Biosynthesis	Fungi // Bacteria <bacteria> // Rhodophyta // Chlorophyta // Viridiplantae	Brevibacterium linens // Capsicum annuum // Carica papaya // Narcissus pseudonarcissus // Pantoea ananatis // Solanum lycopersicum // Solanum tuberosum // Phaffia rhodozyma // Arabidopsis thaliana // Lactuca sativa romaine	all-trans-lycopene  ->  gamma-carotene // gamma-carotene  ->  beta-carotene	PWY-5943	beta-carotene biosynthesis
