Id	CLASS0	CLASS1	CLASS2	CLASS3	COMMON-NAME	ALTERNATIVE	NAMES	SUPER-PATHWAYS
PWY-7374	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"	Quinol and Quinone Biosynthesis	14-Dihydroxy-6-Naphthoate-Biosynthesis	"1,4-dihydroxy-6-naphthoate biosynthesis I"		"1,4-dihydroxy-6-naphthoate biosynthesis I$futalosine pathway"	PWY-6263
PWY-7371	Biosynthesis	"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis"	Quinol and Quinone Biosynthesis	14-Dihydroxy-6-Naphthoate-Biosynthesis	"1,4-dihydroxy-6-naphthoate biosynthesis II"		"1,4-dihydroxy-6-naphthoate biosynthesis II$modified futalosine pathway"	PWY-7992$PWY-7373
PWY3O-246	Degradation/Utilization/Assimilation	Alcohol Degradation	Alcohol-Degradation	2-3-Butanediol-Degradation	"(R,R)-butanediol degradation"		"(R,R)-butanediol degradation$(R,R)-butylene-glycol degradation"	
PWY-6388	Degradation/Utilization/Assimilation	Alcohol Degradation	Alcohol-Degradation	2-3-Butanediol-Degradation	"(S,S)-butanediol degradation"		"(S,S)-butanediol degradation$(S,S)-butylene-glycol degradation"	
PWY-6077	Degradation/Utilization/Assimilation	Aromatic-Compounds-Degradation	Aromatic-Compounds-Degradation	2-Aminobenzoate-Degradation	anthranilate degradation II (aerobic)		anthranilate degradation II (aerobic)$2-aminobenzoate degradation (aerobic)	
PWY-6079	Degradation/Utilization/Assimilation	Aromatic-Compounds-Degradation	Aromatic-Compounds-Degradation	2-Aminobenzoate-Degradation	anthranilate degradation I (aerobic)		anthranilate degradation I (aerobic)$2-aminobenzoate degradation (aerobic)	PWY-2504$PWY-6954
PWY-6504	Degradation/Utilization/Assimilation	Aromatic-Compounds-Degradation	Aromatic-Compounds-Degradation	2-Aminobenzoate-Degradation	anthranilate degradation IV (aerobic)		anthranilate degradation IV (aerobic)	PWY-6505$PWY-6309
2AMINOBENZDEG-PWY	Degradation/Utilization/Assimilation	Aromatic-Compounds-Degradation	Aromatic-Compounds-Degradation	2-Aminobenzoate-Degradation	anthranilate degradation III (anaerobic)		anthranilate degradation III (anaerobic)$2-aminobenzoate degradation (anaerobic)	BENZCOA-PWY
PWY-6832	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Phosphorus Compound Metabolism	2-Aminoethylphosphonate-Degradation	2-aminoethylphosphonate degradation II		2-aminoethylphosphonate degradation II	
PWY-7447	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Phosphorus Compound Metabolism	2-Aminoethylphosphonate-Degradation	2-aminoethylphosphonate degradation III		2-aminoethylphosphonate degradation III	
PHOSPHONOTASE-PWY	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Phosphorus Compound Metabolism	2-Aminoethylphosphonate-Degradation	2-aminoethylphosphonate degradation I		2-aminoethylphosphonate degradation I$phosphonotase pathway	
PWY-7428	Degradation/Utilization/Assimilation	Chlorinated-Compound-Degradation	Chlorinated-Compound-Degradation	2-Chloroacrylates-Degradation	2-chloroacrylate degradation II		2-chloroacrylate degradation II	
PWY-7425	Degradation/Utilization/Assimilation	Chlorinated-Compound-Degradation	Chlorinated-Compound-Degradation	2-Chloroacrylates-Degradation	2-chloroacrylate degradation I		2-chloroacrylate degradation I	
PWY-5648	Degradation/Utilization/Assimilation	Aromatic-Compounds-Degradation	Nitroaromatic Compound Degradation	2-Nirobenzoate-Degradation	2-nitrobenzoate degradation II		2-nitrobenzoate degradation II	
PWY-5647	Degradation/Utilization/Assimilation	Aromatic-Compounds-Degradation	Aromatic-Compounds-Degradation	2-Nirobenzoate-Degradation$Super-Pathways	2-nitrobenzoate degradation I		2-nitrobenzoate degradation I	
2OXOBUTYRATECAT-PWY	Degradation/Utilization/Assimilation	Carboxylate Degradation	2-Oxobutanoate-Degradation	2-Oxobutanoate-Degradation	2-oxobutanoate degradation II		2-oxobutanoate degradation II$2-oxobutyrate catabolism$2-oxobutyrate degradation$2-oxobutanoic acid degradation II$2-ketobutyrate catabolism	
PWY-5130	Degradation/Utilization/Assimilation	Carboxylate Degradation	2-Oxobutanoate-Degradation	2-Oxobutanoate-Degradation$Super-Pathways	2-oxobutanoate degradation I		2-oxobutanoate degradation I$2-oxobutyrate catabolism$2-oxobutyrate degradation	PWY-5328
PWY-6088	Degradation/Utilization/Assimilation	Chlorinated-Compound-Degradation	Chloroaromatic-Compounds-Degradation	3-Chlorobenzoate-Degradation	3-chlorobenzoate degradation I (via chlorocatechol)		3-chlorobenzoate degradation I (via chlorocatechol)	
PWY-6216	Degradation/Utilization/Assimilation	Chlorinated-Compound-Degradation	Chloroaromatic-Compounds-Degradation	3-Chlorobenzoate-Degradation	3-chlorobenzoate degradation II (via protocatechuate)		3-chlorobenzoate degradation II (via protocatechuate)	
PWY-6228	Degradation/Utilization/Assimilation	Chlorinated-Compound-Degradation	Chloroaromatic-Compounds-Degradation	3-Chlorobenzoate-Degradation	3-chlorobenzoate degradation III (via gentisate)		3-chlorobenzoate degradation III (via gentisate)	
PWY-6089	Degradation/Utilization/Assimilation	Chlorinated-Compound-Degradation	Chloroaromatic-Compounds-Degradation	3-Chlorocatechol-Degradation	3-chlorocatechol degradation I (ortho)		3-chlorocatechol degradation I (ortho)	
PWY-6193	Degradation/Utilization/Assimilation	Chlorinated-Compound-Degradation	Chloroaromatic-Compounds-Degradation	3-Chlorocatechol-Degradation	3-chlorocatechol degradation II (ortho)		3-chlorocatechol degradation II (ortho)	
