,Date,AD,SludgeType,Treatment,daysop,week,Period,SampleID.TSVS,TS_ww,VS_wwTS,VS_ww,VSr_pct,SampleID.pH,pH,SampleID.CODNH4,COD_mgL,TNH3_mgL,FAN_mgL,CODr_pct,CH4_pct,CH4_L,CH4_L_kgVS,O2_pct,Gasflow_mL,SampleID.CHN,C,H_pct,N_pct,CN,HC,gC_kg,gH_kg,gN_kg,SampleID.VFA,Ethanol,Propanol,Butanol,X1.Hexanol,Acetic.acid,Propionic.acid,iso.Butyric.acid,Butyric.acid,iso.Valeric.acid,Valeric.acid,4-Methyl.valeric.acid,Hexanoic.acid,DTubeID,SampleID.DNA,ngmL_qb,DNA_mg_gCOD,DNA_mg_gVS,DNA_mg_L,DNA_mgLSludge,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher,pielou_ev,VFAS
11,3/3/2023,PSTWAS,PSTWAS,PSTWAS,2,1,Converging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#001,F5,269.33,,0.5442,15.78,26.3,1130.00,1167.07,11.19,1161.41,16.80,6.12,1.00,214.54,230.45,0.87,
30,8/3/2023,AD1,Control,Control,7,2,Converging,S47_AD1,2.05,68.4,1.4,,S47_AD1,7.417,S39_AD1,20623,,,59.66757408,,,,,1605.143,,,,,,,,,,,,,,,,,,,,,,,#002,S27_AD1,205.33,1.5402,3.25,45.50,20.5,778.00,800.27,8.46,796.98,13.96,5.24,0.98,64.75,145.05,0.79,
31,8/3/2023,AD2,Treatment,Treatment,7,2,Converging,S48_AD2,1.945,68.955,1.34,,S48_AD2,7.17,S40_AD2,21065,,,58.80315415,,,,,1133.076,,,,,,,,,,,,,,,,,,,,,,,#003,S28_AD2,169.33,1.2423,1.2599,16.88,16.9,846.00,875.30,9.74,873.76,14.60,5.25,0.98,65.72,160.80,0.78,
36,8/3/2023,AD3,Control,Control,7,2,Converging,,,,,,S49_AD3,7.27,S41_AD3,20948,,,59.03197119,,,,,969.509,,,,,,,,,,,,,,,,,,,,,,,#004,S29_AD3,230.33,1.7029,1.2508,23.01,23,814.00,858.72,14.04,844.54,14.23,5.22,0.98,54.66,153.34,0.78,
32,8/3/2023,AD4,Control,Control,7,2,Converging,S50_AD4,0.56,67.7,0.38,,S50_AD4,7.36,S42_AD4,20739,,,59.44071274,,,,,685.475,S36_AD4,32.024,5.216,5.019,6.4,0.16,1.79,0.29,0.28,,,,,,,,,,,,,,#005,S30_AD4,201.67,1.5075,5.3081,20.17,20.2,760.00,782.02,8.12,781.31,13.81,5.04,0.98,44.04,140.94,0.76,
33,8/3/2023,AD5,Treatment,Treatment,7,2,Converging,S46_AD5,1.91,67.31,1.285,,S46_AD5,7.362,S43_AD5,18724,,,63.38145067,,,,,,,,,,,,,,,,,,,,,,,,,,,,#006,S31_AD5,148,1.2313,1.1575,14.87,14.9,703.00,719.72,6.96,720.00,13.30,5.00,0.98,46.72,128.11,0.76,
34,8/3/2023,AD6,Treatment,Treatment,7,2,Converging,S45_AD6,1.945,70.745,1.375,,S45_AD6,7.427,S44_AD6,20142,,,60.60826636,,,,,1016.262,,,,,,,,,,,,,,,,,,,,,,,#007,S32_AD6,194.33,1.5015,1.419,19.51,19.5,730.00,748.07,7.76,743.65,13.40,5.14,0.98,50.59,134.16,0.78,
35,8/3/2023,PSTWAS,PSTWAS,PSTWAS,7,2,Converging,F8,2.96,84.63,2.51,,,,F9,29435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#008,F10,318.67,2.3255,1.2873,32.44,32.4,1087.00,1126.82,12.31,1114.65,16.42,6.14,1.00,216.74,219.52,0.88,
55,13/3/2023,AD1,Control,Control,12,3,Converging,,,,,,,,,,,,,,,,,3271.109,,,,,,,,,,,,,,,,,,,,,,,#009,S69_AD1,219.67,1.6543,1.8861,22.01,22,889.00,908.92,7.60,907.15,14.88,5.37,0.98,57.95,170.95,0.79,
56,13/3/2023,AD2,Treatment,Treatment,12,3,Converging,,,,,,,,,,,,,,,,,1987.694,S76_AD2,32.957,5.133,5.379,6.1,0.16,7.12,1.11,1.16,,,,,,,,,,,,,,#010,S70_AD2,123.5,0.9084,0.8085,12.35,12.3,903.00,937.01,10.82,929.83,14.96,5.20,0.98,45.01,174.29,0.76,
57,13/3/2023,AD3,Control,Control,12,3,Converging,,,,,,,,,,,,,,,,,3328.597,S77_AD3,22.47,3.688,3.791,5.9,0.16,4.65,0.76,0.78,,,,,,,,,,,,,,#011,S71_AD3,175.5,1.2942,1.2087,17.49,17.5,693.00,717.75,9.77,708.57,13.16,4.96,0.97,38.05,125.89,0.76,
58,13/3/2023,AD4,Control,Control,12,3,Converging,,,,,,,,,,,,,,,,,1227.269,S78_AD4,35.566,5.948,5.191,6.9,0.17,5.44,0.91,0.79,,,,,,,,,,,,,,#012,S72_AD4,121.5,0.921,1.1274,12.32,12.3,704.00,738.90,12.48,725.30,13.28,4.81,0.96,26.37,128.34,0.73,
59,13/3/2023,AD5,Treatment,Treatment,12,3,Converging,,,,,,,,,,,,,,,,,3.747,,,,,,,,,,,,,,,,,,,,,,,#013,S73_AD5,158,1.3066,1.2283,15.78,15.8,752.00,779.72,10.27,769.92,13.67,5.00,0.98,41.31,139.12,0.75,
60,13/3/2023,AD6,Treatment,Treatment,12,3,Converging,,,,,,,,,,,,,,,,,2026.604,S80_AD6,34.06,5.646,5.883,5.8,0.17,7.32,1.21,1.26,,,,,,,,,,,,,,#014,S74_AD6,167,1.2903,1.1306,16.77,16.8,737.00,752.77,6.86,749.79,13.52,4.96,0.97,32.51,135.73,0.75,
66,15/3/2023,Full-scale,Full-scale,Full-scale,14,3,Converging,S121 AD Full scale,2.405,73.845,1.78,34.1309979,S121_ADFull,7.16,S134_Full,26815.5,,,52.69047018,,,,,,S120_ADfull,36.357,5.633,6.236,5.8,0.15,8.74,1.35,1.5,,,,,,,,,,,,,,#015,S119_full,390.67,1.7738,1.7329,30.85,38.6,758.00,780.47,8.40,778.50,13.74,5.13,0.98,46.60,140.49,0.77,
67,15/3/2023,PSTWAS,PSTWAS,PSTWAS,14,3,Converging,F16,3.16,84.66,2.67,,F16,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#016,F15,300.67,1.1731,1.1791,31.68,31.7,1023.00,1039.60,6.85,1037.41,15.84,6.08,0.99,190.54,203.50,0.88,
102,20/3/2023,AD4,Control,Control,19,4,Converging,,,,,,,,S125_AD4,13495,,,77.50995761,29,0.08196763,12.6754067,15.5,282.647,,,,,,,,,,,,,,,,,,,,,,,#020,S131_AD4,76,0.8533,1.6884,7.43,7.4,654.00,665.15,5.61,664.17,12.71,5.00,0.98,45.90,117.31,0.77,
117,22/3/2023,PSTWAS,PSTWAS,PSTWAS,21,4,Converging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#023,F29,346.67,1.4846,1.4174,36.19,36.2,1215.00,1267.31,14.03,1255.15,17.46,6.20,1.00,200.07,252.44,0.87,
146,27/3/2023,AD4,Control,Control,26,5,Converging,,,,,,,,,,,,,46,0.0061387,0.943568592,5.1,13.345,,,,,,,,,,,,,,,,,,,,,,,#027,S147_AD4,57.45,0.3973,0.4323,3.46,3.5,561.00,574.36,6.26,573.48,11.84,4.30,0.95,21.73,97.39,0.68,
155,29/3/2023,PSTWAS,PSTWAS,PSTWAS,28,5,Converging,F40,3.03,84.38,2.57,,F40,5.6,F40,58447,,,,,,,,,F37,32.681,5.091,3.847,8.5,0.16,9.9,1.54,1.17,,,,,,,,,,,,,,#030,F38,295,1.13,1.1423,29.32,29.3,782.00,810.52,9.90,803.52,13.84,4.86,0.97,39.05,145.97,0.73,
185,3/4/2023,AD1,Control,Control,33,6,SteadyState,,,,,,,,S180_AD1,21138,,,61.26245923,71,3.21914142,486.3363596,1.3,4534.002,S168_AD1,24.032,3.979,3.884,6.2,0.17,4.57,0.76,0.74,,,,,,,,,,,,,,#031,S162_AD1,168,1.2319,1.2417,16.80,16.8,591.00,609.50,8.02,605.67,12.15,4.55,0.96,25.28,103.73,0.71,
186,3/4/2023,AD2,Treatment,Treatment,33,6,SteadyState,,,,,,,,S181_AD2,20431,,,62.55810883,69,2.50366569,378.244848,1.9,3628.501,S169_AD2,35.379,5.647,5.622,6.3,0.16,6.37,1.02,1.01,,,,,,,,,,,,,,#032,S163_AD2,194,1.4911,1.544,19.66,19.7,636.00,669.15,12.09,656.89,12.60,4.59,0.97,37.37,113.39,0.71,
187,3/4/2023,AD3,Control,Control,33,6,SteadyState,,,,,,,,S182_AD3,20896,,,61.70594891,71,2.66704613,402.9277799,1.2,3756.403,S170_AD3,35.459,5.479,5.865,6,0.15,6.74,1.04,1.11,,,,,,,,,,,,,,#033,S164_AD3,256,1.9046,1.9497,25.68,25.7,629.00,653.60,10.02,645.38,12.55,4.56,0.96,25.20,111.88,0.71,
188,3/4/2023,AD4,Control,Control,33,6,SteadyState,,,,,,,,S183_AD4,11877,,,78.23418622,37,0.02141079,3.234665492,11.6,57.867,S171_AD4,38.93,6.266,4.82,8.1,0.16,3.8,0.61,0.47,,,,,,,,,,,,,,#034,S165_AD4,88.4,1.1689,1.357,8.96,9,639.00,658.21,7.88,654.54,12.58,4.40,0.96,24.57,114.04,0.68,
189,3/4/2023,AD5,Treatment,Treatment,33,6,SteadyState,,,,,,,,S184_AD5,19026.5,,,65.13199832,71,3.20234495,483.798809,1.4,4510.345,S172_AD5,33.509,5.427,5.132,6.5,0.16,5.83,0.94,0.89,,,,,,,,,,,,,,#035,S166_AD5,198.5,1.6235,1.6203,19.93,19.9,675.00,699.57,9.51,691.96,12.97,4.76,0.97,40.00,121.91,0.73,
190,3/4/2023,AD6,Treatment,Treatment,33,6,SteadyState,,,,,,,,S185_AD6,19210.5,,,64.79479955,70,2.6372444,398.4254413,1.2,3767.492,S173_AD6,35.516,5.935,5.523,6.4,0.17,6.57,1.1,1.02,,,,,,,,,,,,,,#036,S167_AD6,171,1.3807,1.3093,17.11,17.1,615.00,638.52,9.22,633.61,12.41,4.63,0.97,29.41,108.86,0.72,
198,5/4/2023,PSTWAS,PSTWAS,PSTWAS,35,6,SteadyState,F50,3.36,84.27,2.83,,F48,5.257,F50,58764,,,,,,,,,F45,43.897,6.826,5.306,8.3,0.16,14.75,2.29,1.78,,,,,,,,,,,,,,#037,F46,322.67,1.165,1.1569,32.66,32.7,1104.00,1133.65,9.91,1128.15,16.53,6.13,1.00,213.45,223.82,0.88,
197,5/4/2023,Full-scale,Full-scale,Full-scale,35,6,SteadyState,S267_full,2.41,71.92,1.73,34.65944857,S231_ADFull,7.2,S233_Full,27028,,,50.78791653,,,,,,S230_Adfull,37.161,5.855,6.417,5.8,0.16,8.96,1.41,1.55,,,,,,,,,,,,,,#038,S229_full,337,2.0241,2.027,35.07,35.1,751.00,769.80,7.39,769.74,13.69,5.04,0.97,39.43,138.90,0.76,
238,11/4/2023,AD4,Control,Control,41,7,SteadyState,S264_AD4,1.92,70.89,1.36,49.73512381,,,,,,,,72,0.0157284,2.325253172,0.8,21.845,,,,,,,,,,,,,,,,,,,,,,,#042,S258_AD4,180.5,2.3976,1.3508,18.37,18.4,456.00,461.12,3.32,463.73,10.66,4.09,0.96,22.22,75.88,0.67,
241,12/4/2023,PSTWAS,PSTWAS,PSTWAS,42,7,SteadyState,F59,3.19,85.53,2.73,,F57,5.28,F58,57656,,,,,,,,,F54,44.001,6.88,4.773,9.2,0.16,14.04,2.19,1.52,,,,,,,,,,,,,,#045,F55,162.67,0.3451,0.3458,9.43,15.7,1053.00,1081.89,9.62,1078.41,16.20,5.98,0.99,153.28,210.97,0.86,
275,17/4/2023,AD4,Control,Control,47,8,SteadyState,,,,,,,,,,,,,,,,,553.786,,,,,,,,,,S282_AD4,0,0,0,0,65.32,23.89,0.93,1.31,0.92,0.54,1.83,0.12,#049,S276_AD4,176.5,2.3361,1.3114,17.90,17.9,542.00,559.57,7.34,559.45,11.65,4.30,0.96,27.93,93.42,0.68,
284,19/4/2023,PSTWAS,PSTWAS,PSTWAS,49,8,SteadyState,F68,3.61,79.44,2.86,,F66,5.33,F67,58975,,,,,,,,,F63,41.337,6.032,4.945,8.4,0.15,14.92,2.18,1.79,,,,,,,,,,,,,,#052,F64,207.67,0.7309,0.7126,20.38,20.4,948.00,962.53,6.39,960.53,15.09,5.98,0.99,167.35,185.12,0.87,
315,24/4/2023,AD1,Control,Control,54,9,SteadyState,,,,,,,,S320_AD1,20179,925,18.84040123,66.64876148,72,2.37443256,324.1546157,1,3297.823,S361_AD1,35.518,5.42,5.93,6,0.15,6.07,0.93,1.01,S314_AD1,0,0,0,0,26.08,30.96,0.8,1.22,0.96,0.36,1.4,0,#053,S291_AD1,209.5,1.6337,1.7111,21.27,21.3,571.00,583.24,6.00,581.98,11.92,4.63,0.97,31.58,99.49,0.73,
316,24/4/2023,AD2,Treatment,Treatment,54,9,SteadyState,,,,,,,,S321_AD2,20440.5,1025,19.95586628,66.21656222,70,2.4090584,328.8816928,1.9,3441.512,S297_AD2,35.356,5.966,5.647,6.3,0.17,6.29,1.06,1.01,S315_AD2,0,0,0.06,0,41.29,31.2,0.99,1.33,1.1,0.38,7.73,0,#054,S292_AD2,182.5,1.4252,1.4536,18.80,18.8,580.00,601.88,8.33,602.05,12.07,4.43,0.97,32.94,101.39,0.70,
317,24/4/2023,AD3,Control,Control,54,9,SteadyState,,,,,,,,S322_AD3,21535.5,1012.5,17.21211231,64.40677946,73,2.95129729,402.9074799,1,4042.873,S298_AD3,34.565,5.589,5.748,6,0.16,6.29,1.02,1.05,S316_AD3,0,0,0,0,17.88,20.42,0.61,0.88,0.83,0.28,2.82,0,#055,S293_AD3,203,1.4924,1.595,20.74,20.7,648.00,663.47,6.62,663.58,12.70,4.68,0.97,33.84,116.00,0.72,
318,24/4/2023,AD4,Control,Control,54,9,SteadyState,,,,,,,,S323_AD4,22358.5,1075,22.90552199,63.04655005,71,1.01531775,138.6099317,4,1430.025,S299_AD4,32.186,5.451,5.021,6.4,0.17,3.25,0.55,0.51,S317_AD4,0,0,0.31,0,54.86,38.43,1.06,1.63,1.32,0.44,2.47,0.12,#056,S294_AD4,153,1.079,2.1033,15.56,15.6,612.00,645.75,11.98,635.79,12.42,4.59,0.97,34.17,108.21,0.72,
319,24/4/2023,AD5,Treatment,Treatment,54,9,SteadyState,,,,,,,,S324_AD5,20566.5,987.5,18.79647164,66.00831324,72,2.90948688,397.1995741,1.1,4040.954,S300_AD5,33.756,5.419,5.534,6.1,0.16,5.91,0.95,0.97,S318_AD5,0,0,0,0,32.7,21.62,0.65,1.04,0.9,0.3,2,0,#057,S295_AD5,156.5,1.2011,1.2719,15.94,15.9,452.00,456.69,3.31,456.96,10.56,4.33,0.96,28.56,75.08,0.71,
320,24/4/2023,AD6,Treatment,Treatment,54,9,SteadyState,,,,,,,,S325_AD6,20586,912.5,14.8253318,65.97608424,71,2.78945155,380.8124983,1.1,3928.805,S301_AD6,34.488,5.746,5.593,6.2,0.17,6.17,1.03,1,S319_AD6,0,0,0,0,32.82,32.4,0.82,1.33,1.11,0.35,1.89,0,#058,S296_AD6,211.5,1.5926,1.6525,21.15,21.2,695.00,726.60,11.24,716.35,13.16,4.93,0.98,44.68,126.34,0.75,
328,26/4/2023,PSTWAS,PSTWAS,PSTWAS,56,9,SteadyState,F77,3.79,84.45,3.2,,F77,5.52,F76,65094,100,0.042432745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#059,F73,200,0.6602,0.6352,20.35,20.3,969.00,984.26,6.37,984.19,15.40,6.01,0.99,187.56,190.22,0.87,
327,26/4/2023,Full-scale,Full-scale,Full-scale,56,9,SteadyState,S372_full,2.4,70.07,1.68,41.97952218,S372_ADFull,7.4,S374_full,27823,750,23.39817248,54.01499037,,,,,,S371_Adfull,35.824,5.553,6.206,5.8,0.16,8.6,1.33,1.49,,,,,,,,,,,,,,#060,S370_full,264.33,1.2041,1.2714,21.61,27,645.00,657.40,6.00,656.42,12.55,5.03,0.98,45.40,115.35,0.78,
329,26/4/2023,AD1,Control,Control,56,9,SteadyState,,,,,,,,S320_AD1,20993,1050,34.25089318,65.30340699,,,,,3531.042,S387_AD1,34.054,6.277,5.557,6.1,0.18,6.3,1.16,1.03,S399_AD1,0,0,0.35,0,26.26,35.51,0.91,1.54,1.05,0.51,1.43,0.49,#061,S381_AD1,170,1.2887,1.2557,17.45,17.5,532.00,551.00,8.13,547.97,11.54,4.52,0.97,29.86,91.34,0.72,
330,26/4/2023,AD2,Treatment,Treatment,56,9,SteadyState,,,,,,,,S321_AD2,21496.5,1062.5,37.88322253,64.47123748,,,,,3610.287,S388_AD2,33.453,5.439,5.417,6.2,0.16,6.26,1.02,1.01,S400_AD2,0,0,0,0,28.6,16.28,0.57,0.76,0.83,0.34,3.37,0,#062,S382_AD2,214,1.6328,1.6614,22.65,22.6,445.00,453.33,4.60,455.26,10.55,4.26,0.97,30.54,73.69,0.70,
331,26/4/2023,AD3,Control,Control,56,9,SteadyState,,,,,,,,S322_AD3,23047,1000,41.63112554,61.90861816,,,,,3927.877,S389_AD3,34.411,5.229,5.543,6.2,0.15,6.33,0.96,1.02,S401_AD3,0,0,0,0,21.73,27.51,0.76,1.23,0.11,0.39,2.25,0,#063,S383_AD3,185.67,1.2768,1.4382,18.98,19,761.00,809.67,13.42,810.46,13.92,4.80,0.97,33.18,141.17,0.72,
332,26/4/2023,AD4,Control,Control,56,9,SteadyState,,,,,,,,S323_AD4,15461.5,887.5,33.82052104,74.44570224,,,,,2245.101,S390_AD4,36.712,6.464,4.488,8.2,0.18,7.75,1.36,0.95,S402_AD4,0,0,0,0,403.13,136.19,10.88,8.31,28.57,4.92,3.58,1.34,#064,S384_AD4,170.67,1.7352,1.1387,17.31,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
333,26/4/2023,AD5,Treatment,Treatment,56,9,SteadyState,,,,,,,,S324_AD5,19258.5,837.5,99.1208217,68.17013593,,,,,3377.205,S391_AD5,33.857,5.991,5.389,6.3,0.18,5.72,1.01,0.91,S403_AD5,0,0,0,0,33.34,20.11,0.72,0.91,1.28,0.34,2.33,0,#065,S385_AD5,170.67,1.379,1.4126,17.14,17.1,498.00,516.32,7.62,517.03,11.20,4.22,0.96,25.17,84.35,0.68,
334,26/4/2023,AD6,Treatment,Treatment,56,9,SteadyState,,,,,,,,S325_AD6,20799,812.5,30.28392681,65.6240443,,,,,3626.465,S392_AD6,33.737,5.765,5.679,5.9,0.17,6.34,1.08,1.07,S404_AD6,0,0,0.25,0.05,32.69,29.8,0.8,1.23,1.41,0.39,2.01,0,#066,S386_AD6,190.33,1.4429,1.3762,19.36,19.4,544.00,550.30,3.58,555.17,11.68,4.69,0.97,37.49,93.83,0.74,
